"TYPE","COMMENT"
"Valuable","Professor Short always gives a very in-depth discourse about the subject material, making it relatively easy to learn and apply."
"Valuable","Learning how to utilize the peripheral modules of a microcontroller with additional ICs"
"Valuable","The lab hands on experience"
"Needs Improvement","3 Midterm Exams is too much and writing codes on paper can be frustrating. Maybe only have 1 or 2 exams and add a project"
"Needs Improvement","Make it easier to prove that an alternate solution is viable / make minor mistakes on exams somewhat less costly."
"Needs Improvement","No ways"
